service_id,service_name,service_category,municipality_code,latitude,longitude
entityC5CE8164,Consultorio de Abaltzisketa,primary_care,20001,43.04782714383536,-2.1054531469294
entity575DBFCE,Consultorio de Aizarnazabal,primary_care,20003,43.25469283797177,-2.2377668948288885
entity71BB9A3F,Consultorio de Albiztur,primary_care,20004,43.12979582618247,-2.137108191302312
entityE8C2F026,Centro de Salud de Alegia,primary_care,20005,43.10065185129113,-2.0985628642720497
entity771AD8EE,Consultorio de Amezketa,primary_care,20008,43.04980158428751,-2.0880884073683093
entity2174F0DA,Centro de Salud Mental de Andoain,mental_health,20009,43.221231365992296,-2.0221942454753545
entityA8E7BFB5,Centro de Salud de Andoain,primary_care,20009,43.221231365992296,-2.0221942454753545
entityC40323E8,Consultorio de Anoeta,primary_care,20010,43.16153416153941,-2.0718495998802555
entityC2E572D7,Consultorio de Antzuola,primary_care,20011,43.09776417115158,-2.381919611145804
entity74310650,Centro de Salud de Aretxabaleta,primary_care,20013,43.03539979726118,-2.5051540798410152
entityB9C373D0,Consultorio de Asteasu,primary_care,20014,43.193716642518666,-2.097834552823683
entity1DF833DF,Consultorio de Ataun-San Gregorio,primary_care,20015,42.97863551869698,-2.180404705207041
entityABD80EAC,Consultorio de Ataun-San Martin,primary_care,20015,43.00600829417225,-2.177502097607772
entity85CF7DBB,Consultorio de Aia,primary_care,20016,43.237544497889566,-2.1474415179798245
entityE7146F42,Centro de Salud de Azkoitia,primary_care,20017,43.17592886388753,-2.3150229473149824
entity0ECFC0DA,Centro de Salud Mental de Azpeitia,mental_health,20018,43.18143667003693,-2.267977469507896
entity458B7E4D,Ambulatorio de Azpeitia,primary_care,20018,43.18143667003693,-2.267977469507896
entity88E353B4,Ambulatorio de Azpeitia,primary_care,20018,43.18143667003693,-2.267977469507896
entityF54FA5AA,Consultorio de Urrestilla,primary_care,20018,43.15708148404615,-2.2444112630994173
entity466E5112,PAC DE AZPEITIA,primary_care,20018,43.18143667003693,-2.267977469507896
entity17DDCC5A,Centro de Salud Mental de Beasain,mental_health,20019,43.05155274355186,-2.19005597084824
entityBC631DA5,Ambulatorio de Beasain,primary_care,20019,43.04527740634045,-2.1977014177917447
entity24E39531,Ambulatorio de Beasain,primary_care,20019,43.04527740634045,-2.1977014177917447
entity38D83782,PAC DE BEASAIN,primary_care,20019,43.04527740634045,-2.1977014177917447
entity58B952FE,Consultorio de Beizama,primary_care,20020,43.13414544520059,-2.200279712634888
entityCE9F796C,Consultorio de Belauntza,primary_care,20021,43.13479302421061,-2.0511328791385024
entity421CF1DE,Consultorio de Berastegi,primary_care,20022,43.124091640455646,-1.9793039026365664
entityB5A8FFF6,Consultorio de Berrobi,primary_care,20023,43.14564839600344,-2.0272017443670998
entity32419E1A,Consultorio de Bidania-Goiatz,primary_care,20024,43.14008753872753,-2.1606788715978538
entityEC2BA125,Consultorio de Zegama,primary_care,20025,42.97485183209362,-2.289613393803866
